OBJECTID_1 *,Shape *,OBJECTID,Shape_1,Sitename,site_addre,street_nam,house_num,location_t,location_n,scientific,tree_num,remarks,remarks_A,priority,elctricit,date,date_sourc,uniqueld,Tree_Name_,point_X,point_Y,Tree_nam_1,Tree_nam_2,scientif_1,Total_Num_,CombinedTr,comments_O,CombNameHe,Name_Eng,Name_Heb,Tree_Type_,Tree_Typ_1,Tree_Typ_2,x,y
31,Point,37307,Point, ,?????? 8,??????,8,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-37307,83,176821.236,659967.399,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75309339089602,32.03210375661671
32,Point,38126,Point, ,?????? 6,??????,6,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-38126,83,176852.701,659961.494,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75342674067986,32.03205169168848
33,Point,38304,Point, ,????? ???? 5,????? ????,5,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-38304,83,176794.692,660102.266,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.752806427248736,32.03331895550394
34,Point,38911,Point, ,?????? 4,??????,4,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-38911,83,176884.167,659955.59,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75376010063898,32.03199963493543
35,Point,39087,Point, ,????? ???? 3,????? ????,3,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-39087,83,176799.054,660126.645,??????? ??????,????????? ??????,Brachychiton populneus,1270,????????? ?????? (Brachychiton populneus), ,90,70,83,??,??? ????,?????,34.75285152520111,32.03353896407073
36,Point,35019,Point, ,?????? 14,??????,14,?????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-35019,101,176868.946,660133.827,??? ????? ?????,??? ?????, ,96,??? ????? (),???,111,1,101,???, , ,34.75359109688238,32.03360636219492
37,Point,23739,Point, ,????? ???? 34-24,????? ????,34-24,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-23739,104,176822.165,659860.678,??? ????? ?????,??? ??????,  Citrus aurantium,186,??? ?????? (  Citrus aurantium), ,114,4,104,???,??? ????, ,34.75310794498947,32.03114140625607
38,Point,23892,Point, ,??????? 20-22,???????,20-22,?????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-23892,104,176952.066,660065.982,??? ????? ?????,??? ??????,  Citrus aurantium,186,??? ?????? (  Citrus aurantium), ,114,4,104,???,??? ????, ,34.754474012065565,32.03299767683062
39,Point,30461,Point, ,????? ???? 33,????? ????,33,?????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-30461,117,176788.047,659890.225,???,??? ???????,Olea europaea,6,??? ??????? (Olea europaea),????  ?????? ???? ?? '???????' ???? ????,129,187,117,?? ???,??? ????,??????,34.75274546755691,32.03140656846265
40,Point,23895,Point, ,??????? 20-22,???????,20-22,?????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-23895,117,176952.066,660065.982,??? ??????,??? ???????,Olea europaea,1645,??? ??????? (Olea europaea), ,129,187,117,?? ???,??? ????,??????,34.754474012065565,32.03299767683062
41,Point,23893,Point, ,??????? 20-26,???????,20-26,?????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-23893,144,176952.066,660065.982,???? ????,???? ????, Alectryon tomentosum,73,???? ???? ( Alectryon tomentosum), ,157,12,144,??,??? ????,?????,34.754474012065565,32.03299767683062
42,Point,23740,Point, ,????? ???? 34-24,????? ????,34-24,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-23740,147,176822.165,659860.678,????????? ?????,????????? ?????,  Lagerstroemia indica,291,????????? ????? (  Lagerstroemia indica),"?????????? ?????? ????? ???? ???? ?????????? ?????? ????? - ??????? ?????, ??? ????? ?? ??? ??????.",161,7,147,?? ???,??? ????,?????,34.75310794498947,32.03114140625607
43,Point,23897,Point, ,??????? 20-22,???????,20-22,?????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-23897,161,176952.066,660065.982,???? ???,???? ???,Tipuana tipu,1058,???? ??? (Tipuana tipu), ,176,250,161,??,?????,??????,34.754474012065565,32.03299767683062
44,Point,34260,Point, ,????? ???? 16,????? ????,16,????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-34260,161,176742.151,659944.869,???? ???,???? ???,Tipuana tipu,1058,???? ??? (Tipuana tipu), ,176,250,161,??,?????,??????,34.752257194614245,32.03189760403981
45,Point,36339,Point, ,??????? 10,???????,10,????, , , , , ,#NULL!,???? ??? ????,#NULL!,Survey 2016,628-36339,161,176928.508,659936.378,???? ???,???? ???,Tipuana tipu,1058,???? ??? (Tipuana tipu), ,176,250,161,??,?????,??????,34.75423034198144,32.03182805272641
46,Point,36760,Point, ,??????? 9,???????,9,?????,????? ?????????? ????, , , , ,#NULL!, ,#NULL!,Survey 2016,628-36760,161,176917.212,659997.893,???? ???,???? ???,Tipuana tipu,1058,???? ??? (Tipuana tipu), ,176,250,161,??,?????,??????,34.754108048277736,32.03238235628615
47,Point,39207,Point, ,?????? 3,??????,3,?????,??? ???? ??????, , , , ,#NULL!, ,#NULL!,Survey 2016,628-39207,171,176961.129,659999.033,???,??? ?????,  Sabal minor (palmetto),55,??? ????? (  Sabal minor (palmetto)), ,186,10,171,???,????,????,34.75457290532323,32.03239428654617
48,Point,23896,Point, ,??????? 20-26,???????,20-26,?????,??? ???? ?????? ???? ???, , , , ,#NULL!, ,#NULL!,Survey 2016,628-23896,178,176952.066,660065.982,?????? ??? ??????,?????? ???-??????,Jacaranda mimosifolia,1403,?????? ???-?????? (Jacaranda mimosifolia), ,193,163,178,??,????? ??????,??????,34.754474012065565,32.03299767683062
49,Point,23901,Point, ,??????? 20-22,???????,20-22,?????, , , , , ,#NULL!, ,#NULL!,Survey 2016,628-23901,178,176952.066,660065.982,?????? ??? ??????,?????? ???-??????,Jacaranda mimosifolia,1403,?????? ???-?????? (Jacaranda mimosifolia), ,193,163,178,??,????? ??????,??????,34.754474012065565,32.03299767683062
